,Route,Attempted,Succeeded,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solar Radiation AVG
2899,Emmons-Winthrop,1,1,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
1646,Disappointment Cleaver,1,0,39.15708333,71.17625,24.91166667,260.21666669999996,182.5133333
2917,Emmons-Winthrop,1,1,47.63541667,46.01083333,2.864833333,30.16916667,333.7253333
1411,Disappointment Cleaver,1,1,40.04916667,77.10333333,14.9015,245.56375,170.0025833
979,Disappointment Cleaver,1,1,43.36666667,22.565875,22.82541667,17.94333333,236.7139583
591,Emmons-Winthrop,1,0,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
4504,Kautz Glacier,1,1,32.7775,49.44625,2.176375,217.676125,30.99041667
4369,Little Tahoma,1,0,40.17125,36.86833333,9.813375,247.1904167,352.442875
2502,Kautz Glacier,1,0,49.7325,49.06958333,3.9822916669999997,226.1925,328.9838333
2200,Disappointment Cleaver,1,1,40.95583333,50.64916667,7.499333332999999,227.9012083,326.1535417
1930,Disappointment Cleaver,1,1,37.44,38.43166667,7.56075,17.995,304.6057083
2289,Emmons-Winthrop,1,0,29.43291667,97.86916667,33.001875,211.21083330000002,182.8830833
924,Disappointment Cleaver,1,1,41.95083333,54.23375,35.89916667,22.13458333,234.041625
2374,Disappointment Cleaver,1,0,38.75666667,43.62791667,5.683125,18.71875,301.8440417
2165,Disappointment Cleaver,1,0,48.88666667,27.80416667,13.75808333,270.7366667,326.9785417
742,Disappointment Cleaver,1,0,22.40041667,91.62541667,23.27375,188.12083330000002,233.4845833
1695,Disappointment Cleaver,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
2995,Disappointment Cleaver,1,0,54.94875,28.75125,1.358333333,28.05416667,351.9732917
3209,Emmons-Winthrop,1,0,48.94125,56.53375,11.08508333,229.85291669999998,354.126125
4033,Emmons-Winthrop,1,1,39.88916667,12.741125,14.657875,33.32166667,368.0560833
2207,Disappointment Cleaver,1,1,40.95583333,50.64916667,7.499333332999999,227.9012083,326.1535417
1455,Disappointment Cleaver,1,0,40.04916667,77.10333333,14.9015,245.56375,170.0025833
1738,Disappointment Cleaver,1,1,37.20791667,71.93125,27.72875,202.2658333,240.0982083
4974,Little Tahoma,1,0,28.24208333,52.79375,6.912000000000001,122.80741670000002,35.50208333
1792,Disappointment Cleaver,1,1,42.45083333,43.5075,4.640541667,20.59791667,308.749
2001,Kautz Glacier,1,1,41.29625,39.34041667,9.768666667,26.96041667,321.4156667
3391,Disappointment Cleaver,1,1,54.57583333,40.18583333,18.14608333,278.59166669999996,245.01154169999998
3581,Emmons-Winthrop,1,1,31.41125,80.40458333,13.34379167,242.9666667,240.7595833
3903,Disappointment Cleaver,1,1,35.51375,64.3275,7.011958333,29.11708333,343.898
5026,Disappointment Cleaver,1,0,30.66458333,30.90483333,6.0655,141.95708330000002,44.96
1803,Disappointment Cleaver,1,1,42.45083333,43.5075,4.640541667,20.59791667,308.749
2420,Kautz Glacier,1,1,41.5075,23.71291667,23.71208333,163.2116667,318.05425
1334,Disappointment Cleaver,1,0,46.55333333,30.25375,6.036208332999999,252.915,295.18425
181,Disappointment Cleaver,1,0,37.6425,68.0775,31.28666667,40.02583333,215.14358330000002
1594,Disappointment Cleaver,1,1,45.62583333,54.49666667,9.515125,194.9952083,181.97529169999999
4160,Disappointment Cleaver,1,1,53.21166667,30.91625,3.1011666669999998,217.22883330000002,355.6503333
407,Disappointment Cleaver,1,0,51.76,27.91541667,19.81575,220.86625,238.10541669999998
3982,Disappointment Cleaver,1,1,31.21583333,45.76625,1.7863333330000002,29.30041667,364.5174167
2831,Disappointment Cleaver,1,1,45.18541667,55.22875,16.93216667,22.45291667,349.9249583
1668,Emmons-Winthrop,1,1,37.08375,48.48666667,30.84,264.2958333,170.5599167
3072,Emmons-Winthrop,1,1,55.1375,20.55941667,0.753458333,90.53458333,357.3411667
5350,Kautz Glacier,1,0,42.99875,59.25791667,9.26775,171.1059583,125.34208329999998
330,Disappointment Cleaver,1,1,23.02125,60.216125,11.10675,13.96916667,90.693
1860,Disappointment Cleaver,1,0,42.45083333,43.5075,4.640541667,20.59791667,308.749
4522,Disappointment Cleaver,1,1,32.7775,49.44625,2.176375,217.676125,30.99041667
4145,Little Tahoma,1,1,53.21166667,30.91625,3.1011666669999998,217.22883330000002,355.6503333
270,Disappointment Cleaver,1,0,34.73375,52.70166667,6.354375,30.35875,200.940625
